order_id,strike,token_side,side,price,size,timestamp_us,is_aggressive,queue_ahead
ord_000010,165,YES,SELL,0.64,10.0,1774877400982000,True,0.0
ord_000014,160,YES,SELL,0.86,10.0,1774877401013000,True,0.0
ord_000016,160,YES,SELL,0.86,10.0,1774877401013000,True,0.0
ord_000018,160,YES,SELL,0.86,10.0,1774877401013000,True,0.0
ord_000020,160,YES,SELL,0.86,10.0,1774877401013000,True,0.0
ord_000022,160,YES,SELL,0.86,10.0,1774877401620000,True,0.0
ord_000033,165,YES,SELL,0.64,10.0,1774877403984000,True,0.0
ord_000035,165,YES,SELL,0.64,10.0,1774877404129000,True,0.0
ord_000041,165,YES,SELL,0.64,10.0,1774877404325000,True,0.0
ord_000270,170,YES,SELL,0.19,10.0,1774877483947000,True,0.0
ord_000272,170,YES,SELL,0.19,10.0,1774877483950000,True,0.0
ord_000274,170,YES,SELL,0.19,10.0,1774877484622000,True,0.0
ord_000282,170,YES,SELL,0.19,10.0,1774877484961000,True,0.0
ord_000284,170,YES,SELL,0.19,10.0,1774877484967000,True,0.0
ord_000429,165,YES,BUY,0.95,10.0,1774877522104000,True,0.0
ord_000443,165,YES,BUY,0.95,10.0,1774877525384000,True,0.0
ord_000446,165,YES,BUY,0.95,10.0,1774877526678000,True,5000.0
ord_000456,165,YES,BUY,0.95,10.0,1774877526678000,True,5000.0
ord_000458,165,YES,BUY,0.95,10.0,1774877527104000,True,5000.0
ord_000462,165,YES,BUY,0.95,10.0,1774877527104000,True,5000.0
ord_000464,165,YES,BUY,0.95,10.0,1774877527744000,True,5000.0
ord_000475,165,YES,BUY,0.95,10.0,1774877528193000,True,5000.0
ord_000477,165,YES,BUY,0.95,10.0,1774877528441000,True,5000.0
ord_000643,170,YES,BUY,0.37,10.0,1774877577358000,True,0.0
ord_000646,170,YES,BUY,0.37,10.0,1774877577390000,True,5000.0
ord_000649,170,YES,BUY,0.37,10.0,1774877579050000,True,5000.0
ord_000653,170,YES,BUY,0.37,10.0,1774877579051000,True,5000.0
ord_000655,170,YES,BUY,0.37,10.0,1774877579384000,True,5000.0
ord_000657,170,YES,BUY,0.37,10.0,1774877579385000,True,5000.0
ord_000659,170,YES,BUY,0.37,10.0,1774877579635000,True,5000.0
ord_000661,170,YES,BUY,0.37,10.0,1774877579635000,True,5000.0
ord_000663,170,YES,BUY,0.37,10.0,1774877579635000,True,5000.0
ord_000665,170,YES,BUY,0.37,10.0,1774877579635000,True,5000.0
ord_000686,170,YES,SELL,0.29,10.0,1774877584920000,True,0.0
ord_000692,170,YES,SELL,0.29,10.0,1774877585533000,True,0.0
ord_000694,170,YES,SELL,0.29,10.0,1774877585649000,True,5000.0
ord_000696,170,YES,SELL,0.29,10.0,1774877586582000,True,5000.0
ord_000723,170,YES,SELL,0.29,10.0,1774877591907000,True,0.0
ord_000727,170,YES,SELL,0.29,10.0,1774877592180000,True,0.0
ord_000729,170,YES,SELL,0.29,10.0,1774877592288000,True,0.0
ord_000741,170,YES,SELL,0.29,10.0,1774877596034000,True,0.0
ord_000743,170,YES,SELL,0.29,10.0,1774877596179000,True,0.0
ord_000745,170,YES,SELL,0.29,10.0,1774877596183000,True,0.0
ord_012490,170,YES,BUY,0.14,5.81,1774883154807000,True,5.81
ord_012491,170,YES,BUY,0.14,5.81,1774883154812000,True,5.81
ord_012493,170,YES,BUY,0.14,5.81,1774883154818000,True,5.81
ord_012495,170,YES,BUY,0.14,5.81,1774883154822000,True,5.81
ord_012497,170,YES,BUY,0.14,5.81,1774883154824000,True,5.81
ord_012499,170,YES,BUY,0.14,5.81,1774883154892000,True,5.81
ord_012501,170,YES,BUY,0.14,5.81,1774883155219000,True,5.81
ord_012503,170,YES,BUY,0.14,5.81,1774883156381000,True,5.81
ord_012505,170,YES,BUY,0.14,5.81,1774883156970000,True,5.81
ord_012507,170,YES,BUY,0.14,5.81,1774883158079000,True,5.81
ord_012509,170,YES,BUY,0.14,5.81,1774883160602000,True,5.81
ord_012513,170,YES,BUY,0.14,5.81,1774883160753000,True,5.81
ord_012515,170,YES,BUY,0.14,5.81,1774883161228000,True,5.81
ord_012517,170,YES,BUY,0.14,5.81,1774883162059000,True,5.81
ord_012519,170,YES,BUY,0.14,5.81,1774883162653000,True,5.81
ord_012521,170,YES,BUY,0.14,5.81,1774883163401000,True,5.81
ord_012523,170,YES,BUY,0.14,5.81,1774883164574000,True,5.81
ord_012526,170,YES,BUY,0.14,1.23,1774883165188000,True,5.81
ord_012652,170,YES,SELL,0.18,10.0,1774883200079000,False,0.0
ord_013197,170,YES,SELL,0.12,10.0,1774883323282000,True,100.0
ord_013199,170,YES,SELL,0.12,10.0,1774883323676000,True,100.0
ord_013205,170,YES,SELL,0.12,10.0,1774883326290000,True,100.0
ord_013211,170,YES,SELL,0.12,10.0,1774883328878000,True,100.0
ord_013217,170,YES,SELL,0.12,10.0,1774883332009000,True,100.0
ord_013219,170,YES,SELL,0.12,10.0,1774883332066000,True,100.0
ord_013221,170,YES,SELL,0.12,10.0,1774883332796000,True,100.0
ord_013225,170,YES,SELL,0.12,10.0,1774883333592000,True,100.0
ord_013231,170,YES,SELL,0.12,10.0,1774883335856000,True,100.0
ord_014180,170,YES,BUY,0.09,5.0,1774884960450000,True,0.0
ord_014181,170,YES,BUY,0.09,5.0,1774884960787000,True,0.0
